name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,gmsc,+/-,start,win,game_id
Amen Thompson,21.0,5.0,11.0,0.455,1.0,2.0,0.5,2.0,4.0,0.5,1.0,3.0,4.0,0.0,0.0,1.0,0.0,3.0,13.0,7.6,-19.0,0,0,202410230HOU
Dillon Brooks,31.0,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,-2.1,14.0,1,0,202410230HOU
Jeenathan Williams,,,,,,,,,,,,,,,,,,,,,,0,0,202410230HOU
Reed Sheppard,15.0,2.0,5.0,0.4,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,3.0,0.0,1.0,3.0,3.0,4.0,0.9,-6.0,0,0,202410230HOU
Alperen Sengun,33.0,10.0,22.0,0.455,2.0,3.0,0.667,3.0,4.0,0.75,6.0,12.0,18.0,5.0,4.0,1.0,3.0,2.0,25.0,25.4,10.0,1,0,202410230HOU
Jae'Sean Tate,,,,,,,,,,,,,,,,,,,,,,0,0,202410230HOU
N'Faly Dante,,,,,,,,,,,,,,,,,,,,,,0,0,202410230HOU
Fred VanVleet,37.0,4.0,18.0,0.222,2.0,11.0,0.182,4.0,4.0,1.0,2.0,2.0,4.0,6.0,2.0,0.0,2.0,1.0,14.0,8.8,0.0,1,0,202410230HOU
Jabari Smith Jr.,33.0,2.0,7.0,0.286,2.0,5.0,0.4,2.0,3.0,0.667,1.0,4.0,5.0,1.0,0.0,1.0,0.0,2.0,8.0,6.0,2.0,1,0,202410230HOU
Jeff Green,,,,,,,,,,,,,,,,,,,,,,0,0,202410230HOU
Aaron Holiday,,,,,,,,,,,,,,,,,,,,,,0,0,202410230HOU
Jock Landale,10.0,2.0,4.0,0.5,1.0,1.0,1.0,0.0,0.0,,3.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,5.0,6.1,-6.0,0,0,202410230HOU
Cam Whitmore,8.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.6,4.0,0,0,202410230HOU
Tari Eason,12.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,4.3,-13.0,0,0,202410230HOU
Royce O'Neale,24.0,2.0,5.0,0.4,1.0,3.0,0.333,0.0,0.0,,1.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,3.2,14.0,0,1,202410230LAC
Jusuf Nurkić,22.0,2.0,5.0,0.4,1.0,4.0,0.25,6.0,8.0,0.75,0.0,9.0,9.0,2.0,2.0,0.0,4.0,4.0,11.0,8.0,3.0,1,1,202410230LAC
Mason Plumlee,14.0,2.0,2.0,1.0,0.0,0.0,,4.0,6.0,0.667,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,7.6,-1.0,0,1,202410230LAC
James Harden,39.0,10.0,28.0,0.357,2.0,9.0,0.222,7.0,9.0,0.778,3.0,9.0,12.0,8.0,1.0,0.0,8.0,3.0,29.0,14.8,-4.0,1,0,202410230LAC
Bradley Beal,38.0,8.0,12.0,0.667,4.0,6.0,0.667,4.0,5.0,0.8,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,24.0,19.3,-1.0,1,1,202410230LAC
Kevin Durant,43.0,8.0,17.0,0.471,2.0,5.0,0.4,7.0,9.0,0.778,0.0,7.0,7.0,0.0,3.0,1.0,7.0,4.0,25.0,12.7,-2.0,1,1,202410230LAC
Ryan Dunn,8.0,1.0,5.0,0.2,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,-0.3,-2.0,0,1,202410230LAC
Damion Lee,,,,,,,,,,,,,,,,,,,,,,0,1,202410230LAC
Monte Morris,12.0,2.0,5.0,0.4,0.0,2.0,0.0,1.0,2.0,0.5,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,4.6,2.0,0,1,202410230LAC
Oso Ighodaro,12.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,2.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,4.6,-2.0,0,1,202410230LAC
Grayson Allen,21.0,2.0,7.0,0.286,2.0,6.0,0.333,2.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,8.0,6.2,2.0,0,1,202410230LAC
Devin Booker,32.0,5.0,9.0,0.556,4.0,5.0,0.8,1.0,2.0,0.5,0.0,4.0,4.0,6.0,1.0,1.0,4.0,6.0,15.0,11.0,-4.0,1,1,202410230LAC
