name,mp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,+/-,start,win,game_id
Josh Okogie,31.0,7.0,9.0,0.778,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,2.0,2.0,17.0,2.0,1,1,202310240GSW
Jusuf Nurkić,27.0,5.0,8.0,0.625,1.0,2.0,0.5,3.0,3.0,1.0,3.0,11.0,14.0,3.0,0.0,1.0,1.0,5.0,14.0,2.0,1,1,202310240GSW
Grayson Allen,20.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,,3.0,1.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,-4.0,1,1,202310240GSW
Eric Gordon,31.0,4.0,16.0,0.25,2.0,9.0,0.222,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,10.0,6.0,0,1,202310240GSW
Drew Eubanks,19.0,1.0,3.0,0.333,0.0,0.0,,2.0,4.0,0.5,2.0,5.0,7.0,2.0,0.0,3.0,3.0,3.0,4.0,-2.0,0,1,202310240GSW
Yuta Watanabe,17.0,3.0,5.0,0.6,2.0,4.0,0.5,0.0,0.0,,0.0,4.0,4.0,0.0,0.0,1.0,1.0,2.0,8.0,7.0,0,1,202310240GSW
Jordan Goodwin,14.0,1.0,4.0,0.25,0.0,1.0,0.0,0.0,0.0,,1.0,3.0,4.0,3.0,1.0,0.0,2.0,0.0,2.0,7.0,0,1,202310240GSW
Nassir Little,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,-3.0,0,1,202310240GSW
Udoka Azubuike,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW
Keita Bates-Diop,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW
Bol Bol,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW
Saben Lee,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW
Chimezie Metu,,,,,,,,,,,,,,,,,,,,,0,1,202310240GSW
Klay Thompson,36.0,6.0,18.0,0.333,3.0,11.0,0.273,0.0,0.0,,1.0,6.0,7.0,3.0,0.0,1.0,3.0,3.0,15.0,9.0,1,0,202310240GSW
Chris Paul,34.0,4.0,15.0,0.267,0.0,6.0,0.0,6.0,7.0,0.857,1.0,5.0,6.0,9.0,2.0,0.0,1.0,0.0,14.0,5.0,1,0,202310240GSW
Stephen Curry,30.0,8.0,20.0,0.4,4.0,14.0,0.286,7.0,7.0,1.0,1.0,4.0,5.0,1.0,1.0,0.0,2.0,5.0,27.0,-9.0,1,0,202310240GSW
Kevon Looney,27.0,3.0,6.0,0.5,0.0,0.0,,1.0,1.0,1.0,5.0,6.0,11.0,1.0,0.0,0.0,2.0,2.0,7.0,-11.0,1,0,202310240GSW
Andrew Wiggins,27.0,4.0,12.0,0.333,0.0,3.0,0.0,2.0,3.0,0.667,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,-22.0,1,0,202310240GSW
Gary Payton II,21.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,0.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,15.0,0,0,202310240GSW
Jonathan Kuminga,20.0,4.0,8.0,0.5,0.0,0.0,,4.0,6.0,0.667,3.0,3.0,6.0,1.0,2.0,1.0,2.0,5.0,12.0,4.0,0,0,202310240GSW
Dario Šarić,20.0,3.0,11.0,0.273,1.0,3.0,0.333,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,2.0,0.0,3.0,7.0,7.0,0,0,202310240GSW
Moses Moody,17.0,4.0,6.0,0.667,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,11.0,-6.0,0,0,202310240GSW
Cory Joseph,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.0,0,0,202310240GSW
Trayce Jackson-Davis,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW
Brandin Podziemski,,,,,,,,,,,,,,,,,,,,,0,0,202310240GSW
Mitchell Robinson,37.0,2.0,6.0,0.333,0.0,0.0,,3.0,4.0,0.75,6.0,7.0,13.0,1.0,4.0,4.0,1.0,1.0,7.0,11.0,1,1,202310270ATL
Julius Randle,34.0,4.0,10.0,0.4,3.0,7.0,0.429,6.0,8.0,0.75,2.0,10.0,12.0,9.0,0.0,0.0,3.0,3.0,17.0,7.0,1,1,202310270ATL
RJ Barrett,33.0,9.0,15.0,0.6,3.0,5.0,0.6,5.0,6.0,0.833,1.0,2.0,3.0,6.0,1.0,0.0,3.0,2.0,26.0,6.0,1,1,202310270ATL
Jalen Brunson,32.0,11.0,21.0,0.524,8.0,12.0,0.667,1.0,2.0,0.5,0.0,3.0,3.0,5.0,0.0,0.0,1.0,1.0,31.0,13.0,1,1,202310270ATL
Quentin Grimes,24.0,2.0,6.0,0.333,2.0,5.0,0.4,0.0,0.0,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,6.0,8.0,1,1,202310270ATL
Immanuel Quickley,24.0,4.0,14.0,0.286,1.0,9.0,0.111,2.0,2.0,1.0,0.0,6.0,6.0,6.0,1.0,0.0,4.0,2.0,11.0,-3.0,0,1,202310270ATL
Josh Hart,21.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,1.0,0.0,0.0,3.0,4.0,-2.0,0,1,202310270ATL
Donte DiVincenzo,20.0,6.0,10.0,0.6,3.0,5.0,0.6,1.0,2.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,16.0,-5.0,0,1,202310270ATL
Isaiah Hartenstein,10.0,3.0,4.0,0.75,0.0,0.0,,2.0,4.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,8.0,-5.0,0,1,202310270ATL
Ryan Arcidiacono,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
Evan Fournier,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
DaQuan Jeffries,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
Miles McBride,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
Jericho Sims,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
Dylan Windler,,,,,,,,,,,,,,,,,,,,,0,1,202310270ATL
Trae Young,35.0,4.0,16.0,0.25,2.0,5.0,0.4,8.0,10.0,0.8,1.0,2.0,3.0,12.0,3.0,0.0,6.0,2.0,18.0,-5.0,1,0,202310270ATL
Dejounte Murray,34.0,8.0,17.0,0.471,0.0,3.0,0.0,2.0,3.0,0.667,2.0,5.0,7.0,6.0,1.0,1.0,1.0,1.0,18.0,-6.0,1,0,202310270ATL
De'Andre Hunter,32.0,8.0,13.0,0.615,3.0,7.0,0.429,8.0,8.0,1.0,0.0,6.0,6.0,1.0,0.0,1.0,0.0,3.0,27.0,-1.0,1,0,202310270ATL
Clint Capela,28.0,6.0,12.0,0.5,0.0,0.0,,1.0,2.0,0.5,6.0,7.0,13.0,2.0,0.0,1.0,1.0,3.0,13.0,-9.0,1,0,202310270ATL
Saddiq Bey,25.0,2.0,4.0,0.5,1.0,2.0,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,-6.0,1,0,202310270ATL
Jalen Johnson,29.0,5.0,8.0,0.625,0.0,2.0,0.0,1.0,3.0,0.333,0.0,9.0,9.0,2.0,1.0,1.0,3.0,2.0,11.0,-1.0,0,0,202310270ATL
Bogdan Bogdanović,25.0,6.0,11.0,0.545,4.0,9.0,0.444,0.0,0.0,,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,16.0,0.0,0,0,202310270ATL
Onyeka Okongwu,20.0,1.0,2.0,0.5,0.0,0.0,,4.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,4.0,6.0,2.0,0,0,202310270ATL
AJ Griffin,8.0,2.0,4.0,0.5,2.0,4.0,0.5,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,-4.0,0,0,202310270ATL
Kobe Bufkin,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Bruno Fernando,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Trent Forrest,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Mouhamed Gueye,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Garrison Mathews,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Patty Mills,,,,,,,,,,,,,,,,,,,,,0,0,202310270ATL
Tyler Herro,40.0,10.0,20.0,0.5,5.0,12.0,0.417,3.0,3.0,1.0,1.0,5.0,6.0,6.0,1.0,0.0,3.0,2.0,28.0,-1.0,1,0,202310270BOS
Bam Adebayo,35.0,10.0,23.0,0.435,0.0,0.0,,7.0,9.0,0.778,3.0,4.0,7.0,2.0,1.0,2.0,3.0,1.0,27.0,0.0,1,0,202310270BOS
Jimmy Butler,33.0,3.0,11.0,0.273,0.0,0.0,,8.0,9.0,0.889,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,14.0,0.0,1,0,202310270BOS
Kyle Lowry,31.0,5.0,7.0,0.714,3.0,4.0,0.75,0.0,0.0,,1.0,7.0,8.0,5.0,0.0,1.0,1.0,3.0,13.0,-1.0,1,0,202310270BOS
