name,name_short,code,position
Noah Clowney,N. Clowney,clownno01,F
Cameron Johnson,C. Johnson,johnsca02,F
Dorian Finney-Smith,D. Finney-Smith,finnedo01,F
Ben Simmons,B. Simmons,simmobe01,G
Tyrese Martin,T. Martin,martity01,G
Jalen Wilson,J. Wilson,wilsoja03,F
Dennis Schröder,D. Schroder,schrode01,G
Ziaire Williams,Z. Williams,willizi02,F
Nic Claxton,N. Claxton,claxtni01,C
Jaylen Martin,J. Martin,martija02,F
Dariq Whitehead,D. Whitehead,whiteda01,F
Shake Milton,S. Milton,miltosh01,G
Cam Thomas,C. Thomas,thomaca02,G
Keon Johnson,K. Johnson,johnske07,G
Daniss Jenkins,D. Jenkins,jenkida01,G
Alondes Williams,A. Williams,willial06,G
Tobias Harris,T. Harris,harrito02,F
Cole Swider,C. Swider,swideco01,F
Wendell Moore Jr.,W. Moore Jr.,moorewe01,G
Marcus Sasser,M. Sasser,sassema01,G
Isaiah Stewart,I. Stewart,stewais01,C
Malik Beasley,M. Beasley,beaslma01,G
Tim Hardaway Jr.,T. Hardaway Jr.,hardati02,F
Jalen Duren,J. Duren,durenja01,C
Jaden Ivey,J. Ivey,iveyja01,G
Paul Reed,P. Reed,reedpa01,C
Cade Cunningham,C. Cunningham,cunnica01,G
Simone Fontecchio,S. Fontecchio,fontesi01,F
Pascal Siakam,P. Siakam,siakapa01,F
James Johnson,J. Johnson,johnsja01,C
Myles Turner,M. Turner,turnemy01,C
Tyrese Haliburton,T. Haliburton,halibty01,G
Andrew Nembhard,A. Nembhard,nembhan01,G
Aaron Nesmith,A. Nesmith,nesmiaa01,F
Bennedict Mathurin,B. Mathurin,mathube01,F
Johnny Furphy,J. Furphy,furphjo01,G
T.J. McConnell,T. McConnell,mccontj01,G
Jarace Walker,J. Walker,walkeja02,F
Ben Sheppard,B. Sheppard,sheppbe01,G
James Wiseman,J. Wiseman,wisemja01,C
Quenton Jackson,Q. Jackson,jacksqu01,G
Obi Toppin,O. Toppin,toppiob01,F
Enrique Freeman,E. Freeman,freemen01,F
Alperen Sengun,A. Sengun,sengual01,C
Jabari Smith Jr.,J. Smith Jr.,smithja05,F
Dillon Brooks,D. Brooks,brookdi01,F
Amen Thompson,A. Thompson,thompam01,F
Fred VanVleet,F. VanVleet,vanvlfr01,G
Tari Eason,T. Eason,easonta01,F
Aaron Holiday,A. Holiday,holidaa01,G
Cam Whitmore,C. Whitmore,whitmca01,F
Jeff Green,J. Green,greenje02,C
N'Faly Dante,N. Dante,nfalyda01,C
Jae'Sean Tate,J. Tate,tateja01,F
Jeenathan Williams,J. Williams,willije02,G
Jock Landale,J. Landale,landajo01,C
Reed Sheppard,R. Sheppard,sheppre01,G
Jalen Green,J. Green,greenja05,G
Grant Williams,G. Williams,willigr01,F
Nick Smith Jr.,N. Smith Jr.,smithni01,G
Moussa Diabaté,M. Diabate,diabamo01,C
Brandon Miller,B. Miller,millebr02,F
LaMelo Ball,L. Ball,ballla01,G
Miles Bridges,M. Bridges,bridgmi02,F
Cody Martin,C. Martin,martico01,F
Tre Mann,T. Mann,manntr01,G
Nick Richards,N. Richards,richani01,C
Vasilije Micić,V. Micic,micicva01,G
Taj Gibson,T. Gibson,gibsota01,C
Jared Rhoden,J. Rhoden,rhodeja01,G
Tidjane Salaün,T. Salaun,salauti01,F
